household_size,seasonal_index,garden_area,number_of_bathrooms,children_count,elderly_count,appliance_count,temperature,daily_liters_used
7,1.15,146.29,2,1,1,17,33.25,1316.830523
4,0.85,75.28,2,0,2,7,15.9,768.3783032
5,1.5,239.47,1,2,1,16,31.7,1265.140365
7,1.14,10.21,2,3,2,10,21.01,1044.010486
3,1.46,158.99,4,3,2,17,30.56,1094.291599
5,1.07,25.95,4,1,2,15,18.47,1044.333509
5,0.96,79.12,3,2,1,15,18.53,1056.214405
7,1.32,298.39,4,2,1,14,14.26,1610.490652
2,1.1,252.32,2,3,1,7,36.41,879.4701721
3,1.42,296.3,4,0,2,,38.4,
7,1.13,116.43,2,2,1,16,16.08,1267.192404
3,1.04,39.06,4,3,1,7,18.63,746.2137564
3,1.48,281.76,2,1,0,6,16.3,1038.017135
5,1.38,106.8,1,0,2,16,18.65,1028.833752
4,0.94,72.87,3,2,0,9,36.15,841.3180586
3,1.14,139.13,4,0,2,19,34.75,1031.16431
6,0.88,74.89,3,3,0,18,44.03,1149.971811
5,0.88,251.65,3,3,2,17,11.96,1357.26314
2,1.4,106.11,2,0,1,5,10.45,668.167135
4,1.45,126.88,4,1,0,15,38.75,1109.171214
6,1.32,119.88,3,3,2,10,17.27,1158.558656
6,1.49,205.54,4,1,1,16,35.07,1445.567377
2,0.83,95.77,2,0,1,5,18.84,610.5278649
4,1.03,287.94,4,0,2,5,15.59,1208.875
5,0.89,252.7,2,2,0,8,35.27,1209.865523
1,1.35,289.2,3,1,0,7,14.78,918.5077726
4,1.42,145.06,1,1,0,13,28.49,950.7638033
2,1.11,97.42,4,0,2,18,15.62,848.3482896
6,1.38,56.65,4,2,0,14,21.76,1186.402458
5,1.39,35.6,3,3,0,,27.15,1038.454057
4,0.9,68.18,1,3,1,15,34.87,794.1433126
1,1.06,205.06,2,3,0,14,17.13,792.764942
1,0.93,35.99,1,3,0,18,21.46,477.7291285
3,1.27,195.07,4,1,0,8,16.38,1041.374946
3,1.07,276.67,4,3,2,6,43.8,1140.870227
7,1.27,64.46,3,1,0,19,19.71,1331.221278
